category,poem,url
AUTUMN Animals,"dim stars
  in the same sky
bats hiding",http://www.ahapoetry.com/aadoh/autani.htm
AUTUMN Animals,"hidden in one palm
  hundreds of bats
at the oasis",http://www.ahapoetry.com/aadoh/autani.htm
AUTUMN Animals,"last light of day
  into the clearing curves
the first bat",http://www.ahapoetry.com/aadoh/autani.htm
AUTUMN Animals,"dipped in dark
  bats streak
twilight skies",http://www.ahapoetry.com/aadoh/autani.htm
AUTUMN Animals,"flying with him
  red spots on the shoulders
of the black bird",http://www.ahapoetry.com/aadoh/autani.htm
AUTUMN Animals,"an old yellow cat
  paws tucked under her chest
waiting for a mouse-moon",http://www.ahapoetry.com/aadoh/autani.htm
AUTUMN Animals,"the cicada's cry
  leaves in the maples
brittle gold",http://www.ahapoetry.com/aadoh/autani.htm
AUTUMN Animals,"cicadas
  as if they'd won
a poetry contest",http://www.ahapoetry.com/aadoh/autani.htm
AUTUMN Animals,"red-eyed cicada
  wet from molting
softer than their cry",http://www.ahapoetry.com/aadoh/autani.htm
AUTUMN Animals,"beached boat
  each rib extended
by a cormorant",http://www.ahapoetry.com/aadoh/autani.htm
AUTUMN Animals,"setting sun
  blocked out by cows
following it home",http://www.ahapoetry.com/aadoh/autani.htm
AUTUMN Animals,"cracked stones
  a coyote's howl
widens the gap",http://www.ahapoetry.com/aadoh/autani.htm
AUTUMN Animals,"Joshua trees
  ragged in night skies
a coyote's cry",http://www.ahapoetry.com/aadoh/autani.htm
AUTUMN Animals,"light
  in the coyote's eye
playing tricks",http://www.ahapoetry.com/aadoh/autani.htm
AUTUMN Animals,"cold wind ruffles
  breast feathers of a gray bird
rumors of war",http://www.ahapoetry.com/aadoh/autani.htm
AUTUMN Animals,"lightning flash
  into the sound of rain
a cricket shrills",http://www.ahapoetry.com/aadoh/autani.htm
AUTUMN Animals,"nights
  where you touched me
a cricket chirps",http://www.ahapoetry.com/aadoh/autani.htm
AUTUMN Animals,"parental home
  several crickets
keeping house",http://www.ahapoetry.com/aadoh/autani.htm
AUTUMN Animals,"slower pulse
  of an autumn evening
crickets",http://www.ahapoetry.com/aadoh/autani.htm
AUTUMN Animals,"the candle dims
  a creaking door cricket
changes form",http://www.ahapoetry.com/aadoh/autani.htm
AUTUMN Animals,"a crow's wing tips
  sweeps from the clouds
dark rain drops",http://www.ahapoetry.com/aadoh/autani.htm
AUTUMN Animals,"crow wings
  roughened by wind
ridged by a cliff",http://www.ahapoetry.com/aadoh/autani.htm
AUTUMN Animals,"crows landing
  autumn descends early
in a valley town",http://www.ahapoetry.com/aadoh/autani.htm
AUTUMN Animals,"two crows
  chasing each other
twilight",http://www.ahapoetry.com/aadoh/autani.htm
AUTUMN Animals,"ebb tides
  a flock of crows pulled
from sea caves",http://www.ahapoetry.com/aadoh/autani.htm
AUTUMN Animals,"crow in rocks
  a crack of black quartz
holds a nest",http://www.ahapoetry.com/aadoh/autani.htm
AUTUMN Animals,"a light rain
  not falling in places
the crow flies",http://www.ahapoetry.com/aadoh/autani.htm
AUTUMN Animals,"Death Valley
  the crow stands beside
his shadow",http://www.ahapoetry.com/aadoh/autani.htm
AUTUMN Animals,"hard black white
  sun on the crow's wing
before darkening trees",http://www.ahapoetry.com/aadoh/autani.htm
AUTUMN Animals,"a crow cawing
  so he too has swallowed
a fish bone",http://www.ahapoetry.com/aadoh/autani.htm
AUTUMN Animals,"translating
  Japanese into English
crows",http://www.ahapoetry.com/aadoh/autani.htm
AUTUMN Animals,"a calling of crows
  crisscrossing the air
dark streaks flap",http://www.ahapoetry.com/aadoh/autani.htm
AUTUMN Animals,"a bending of leaves
  as a deer in passing
a sound",http://www.ahapoetry.com/aadoh/autani.htm
AUTUMN Animals,"steepening the hillside
  deer nibble wild flowers
above the autumn sea",http://www.ahapoetry.com/aadoh/autani.htm
